make,model,mileage,fuel-type,first-registration,price
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1500,2,07-2023,21500
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,30286,2,09-2020,14900
suzuki,ignis,19219,2,09-2020,14900
suzuki,ignis,140000,b,06-2005,3000
suzuki,ignis,11366,2,11-2021,15900
suzuki,ignis,79000,b,08-2018,13900
suzuki,ignis,2650,2,09-2022,16900
suzuki,ignis,57458,2,06-2020,15500
suzuki,ignis,157621,b,06-2008,4800
suzuki,ignis,38900,b,10-2019,17700
suzuki,ignis,206000,b,12-2004,2500
suzuki,ignis,10,2,12-2023,20900
suzuki,ignis,47000,2,08-2020,13000
suzuki,ignis,78610,2,02-2018,14300
suzuki,ignis,48200,b,06-2017,11900
suzuki,ignis,15500,2,08-2021,15600
suzuki,ignis,93000,b,04-2017,10400
suzuki,ignis,47000,b,10-2018,13990
suzuki,ignis,220000,b,06-2006,2500
suzuki,ignis,16629,2,07-2020,15300
suzuki,ignis,55416,b,04-2017,11790
suzuki,ignis,140000,b,12-2005,4150
suzuki,ignis,59823,2,04-2021,13490
suzuki,ignis,9408,2,06-2021,17200
suzuki,ignis,9000,2,05-2020,15900
suzuki,ignis,34000,2,07-2021,16900
suzuki,ignis,40000,2,04-2021,14900
suzuki,ignis,46881,2,11-2019,15500
suzuki,ignis,155000,b,06-2006,4750
suzuki,ignis,125000,b,12-2004,4400
suzuki,ignis,61030,2,02-2020,14214
suzuki,ignis,61030,2,02-2020,14214
suzuki,ignis,78610,2,02-2018,14300
suzuki,ignis,61122,2,04-2018,14799
suzuki,ignis,51284,2,12-2020,14800
suzuki,ignis,40000,2,04-2021,14900
suzuki,ignis,40000,2,04-2021,14900
suzuki,ignis,54000,2,07-2021,14900
suzuki,ignis,20456,2,11-2016,14900
suzuki,ignis,48753,b,05-2019,14900
suzuki,ignis,45682,2,10-2017,14950
suzuki,ignis,31000,2,04-2021,15000
suzuki,ignis,16629,2,07-2020,15300
suzuki,ignis,46881,2,11-2019,15500
suzuki,ignis,15500,2,08-2021,15600
suzuki,ignis,9000,2,05-2020,15900
suzuki,ignis,76900,2,05-2020,15900
suzuki,ignis,unknown,2,new,16390
suzuki,ignis,15500,2,03-2021,16500
suzuki,ignis,25000,2,05-2020,16500
suzuki,ignis,34000,2,07-2021,16900
suzuki,ignis,unknown,2,new,16900
suzuki,ignis,43661,b,06-2018,16990
suzuki,ignis,43661,b,06-2018,16990
suzuki,ignis,unknown,2,new,17000
suzuki,ignis,9408,2,06-2021,17200
suzuki,ignis,6295,2,11-2022,17450
suzuki,ignis,unknown,2,new,17650
suzuki,ignis,8428,2,06-2021,17950
suzuki,ignis,unknown,2,new,18500
suzuki,ignis,19557,2,01-2023,18790
suzuki,ignis,25100,2,03-2021,18790
suzuki,ignis,19193,2,04-2021,18900
suzuki,ignis,41,2,07-2023,18900
suzuki,ignis,11445,2,02-2022,18950
suzuki,ignis,unknown,2,new,19000
suzuki,ignis,unknown,2,new,19400
suzuki,ignis,0,2,new,19700
suzuki,ignis,unknown,2,new,19800
suzuki,ignis,unknown,2,new,19800
suzuki,ignis,unknown,2,new,19800
suzuki,ignis,13,b,10-2023,19900
