make,model,mileage,fuel-type,first-registration,price,mileage_grouped
suzuki,ignis,43661,b,06-2018,16990,43000
suzuki,ignis,6295,2,11-2022,17450,6000
suzuki,ignis,8428,2,06-2021,17950,8000
suzuki,ignis,19557,2,01-2023,18790,19000
suzuki,ignis,25100,2,03-2021,18790,25000
suzuki,ignis,19193,2,04-2021,18900,19000
suzuki,ignis,41,2,07-2023,18900,0
suzuki,ignis,11445,2,02-2022,18950,11000
suzuki,ignis,0,2,new,19700,0
suzuki,ignis,13,b,10-2023,19900,0
suzuki,ignis,1,2,12-2023,19990,0
suzuki,ignis,7000,2,11-2021,20200,7000
suzuki,ignis,10,2,11-2023,20897,0
suzuki,ignis,45,2,12-2023,21900,0
suzuki,ignis,1,b,01-2024,23000,0
suzuki,ignis,37000,2,05-2018,15900,37000
suzuki,ignis,80500,l,07-2020,15000,80000
suzuki,ignis,10,2,05-2023,22800,0
suzuki,ignis,88363,2,03-2019,14950,88000
suzuki,ignis,49385,l,05-2018,13300,49000
suzuki,ignis,169000,b,07-2008,3500,169000
suzuki,ignis,5000,2,06-2021,16000,5000
suzuki,ignis,4130,2,03-2022,16900,4000
suzuki,ignis,167000,b,10-2007,3800,167000
suzuki,ignis,38400,2,08-2020,15800,38000
suzuki,ignis,70718,b,12-2021,11500,70000
suzuki,ignis,55202,2,02-2019,13900,55000
suzuki,ignis,3474,2,06-2021,16300,3000
suzuki,ignis,132110,d,04-2004,4200,132000
suzuki,ignis,17097,2,05-2021,16300,17000
suzuki,ignis,54304,2,12-2019,15490,54000
suzuki,ignis,3381,2,03-2023,16950,3000
suzuki,ignis,1,2,11-2023,19400,0
suzuki,ignis,64500,b,07-2017,16200,64000
suzuki,ignis,1023,2,01-2019,17500,1000
suzuki,ignis,76000,2,06-2021,13000,76000
suzuki,ignis,42000,2,02-2021,14000,42000
suzuki,ignis,32635,2,05-2020,16900,32000
suzuki,ignis,79514,b,02-2017,13900,79000
suzuki,ignis,35000,b,01-2017,12400,35000
suzuki,ignis,105000,b,01-2019,12700,105000
suzuki,ignis,31000,2,01-2021,16500,31000
suzuki,ignis,180000,b,12-2001,2900,180000
suzuki,ignis,35000,2,09-2020,16900,35000
